id;file;predicted_keys;true_labels;true_positive;false_negative;false_positive;f1_score;recall;precision;
70;242.txt;11;8;2;6;9;0.21052631578947367;0.25;0.18181818181818182;
71;244.txt;24;7;3;4;21;0.1935483870967742;0.42857142857142855;0.125;
72;249.txt;13;15;0;15;13;0.0;0.0;0.0;
73;252.txt;4;18;0;18;4;0.0;0.0;0.0;
74;254.txt;4;10;1;9;3;0.14285714285714285;0.1;0.25;
75;259.txt;22;20;4;16;18;0.19047619047619047;0.2;0.18181818181818182;
76;262.txt;21;15;4;11;17;0.2222222222222222;0.26666666666666666;0.19047619047619047;
77;264.txt;14;13;5;8;9;0.37037037037037035;0.38461538461538464;0.35714285714285715;
78;269.txt;15;21;1;20;14;0.05555555555555555;0.047619047619047616;0.06666666666666667;
79;272.txt;18;18;2;16;16;0.1111111111111111;0.1111111111111111;0.1111111111111111;
80;274.txt;21;29;0;29;21;0.0;0.0;0.0;
81;279.txt;29;20;5;15;24;0.20408163265306123;0.25;0.1724137931034483;
82;282.txt;14;12;5;7;9;0.38461538461538464;0.4166666666666667;0.35714285714285715;
83;284.txt;33;23;4;19;29;0.14285714285714285;0.17391304347826086;0.12121212121212122;
84;289.txt;23;21;2;19;21;0.09090909090909091;0.09523809523809523;0.08695652173913043;
85;29.txt;29;23;7;16;22;0.2692307692307692;0.30434782608695654;0.2413793103448276;
86;292.txt;45;23;3;20;42;0.08823529411764706;0.13043478260869565;0.06666666666666667;
87;294.txt;29;14;2;12;27;0.09302325581395349;0.14285714285714285;0.06896551724137931;
88;299.txt;15;8;2;6;13;0.17391304347826086;0.25;0.13333333333333333;
89;APCollegePhysics-OP_js6ZFp7.txt;803;104;59;45;744;0.13009922822491732;0.5673076923076923;0.07347447073474471;
90;J-1.txt;69;15;2;13;67;0.047619047619047616;0.13333333333333333;0.028985507246376812;
91;J-10.txt;73;14;2;12;71;0.04597701149425287;0.14285714285714285;0.0273972602739726;
92;J-11.txt;75;17;3;14;72;0.06521739130434782;0.17647058823529413;0.04;
93;J-13.txt;63;14;2;12;61;0.05194805194805195;0.14285714285714285;0.031746031746031744;
94;J-14.txt;64;13;4;9;60;0.1038961038961039;0.3076923076923077;0.0625;
95;J-15.txt;105;9;1;8;104;0.017543859649122806;0.1111111111111111;0.009523809523809525;
96;J-17.txt;83;13;5;8;78;0.10416666666666667;0.38461538461538464;0.060240963855421686;
97;J-18.txt;59;13;4;9;55;0.1111111111111111;0.3076923076923077;0.06779661016949153;
98;J-4.txt;62;13;5;8;57;0.13333333333333333;0.38461538461538464;0.08064516129032258;
99;J-7.txt;76;16;1;15;75;0.021739130434782608;0.0625;0.013157894736842105;
100;J-8.txt;80;23;3;20;77;0.05825242718446602;0.13043478260869565;0.0375;
101;J-9.txt;98;29;13;16;85;0.2047244094488189;0.21834471617376444;0.12514329016968023;
