id;file;predicted_keys;true_labels;true_positive;false_negative;false_positive;f1_score;recall;precision;
78;269.txt;25;21;4;17;21;0.17391304347826086;0.19047619047619047;0.16;
79;272.txt;23;18;2;16;21;0.0975609756097561;0.1111111111111111;0.08695652173913043;
80;274.txt;30;29;0;29;30;0.0;0.0;0.0;
81;279.txt;28;20;5;15;23;0.20833333333333334;0.25;0.17857142857142858;
82;282.txt;9;12;2;10;7;0.19047619047619047;0.16666666666666666;0.2222222222222222;
83;284.txt;27;23;2;21;25;0.08;0.08695652173913043;0.07407407407407407;
84;289.txt;18;21;2;19;16;0.10256410256410256;0.09523809523809523;0.1111111111111111;
85;29.txt;24;23;6;17;18;0.2553191489361702;0.2608695652173913;0.25;
86;292.txt;47;23;3;20;44;0.08571428571428572;0.13043478260869565;0.06382978723404255;
87;294.txt;18;14;1;13;17;0.0625;0.07142857142857142;0.05555555555555555;
88;299.txt;11;8;1;7;10;0.10526315789473684;0.125;0.09090909090909091;
89;APCollegePhysics-OP_js6ZFp7.txt;1075;104;56;48;1019;0.09499575911789652;0.5384615384615384;0.052093023255813956;
90;J-1.txt;135;15;2;13;133;0.02666666666666667;0.13333333333333333;0.014814814814814815;
91;J-10.txt;130;14;2;12;128;0.027777777777777776;0.14285714285714285;0.015384615384615385;
92;J-11.txt;152;17;4;13;148;0.047337278106508875;0.23529411764705882;0.02631578947368421;
93;J-13.txt;97;14;1;13;96;0.018018018018018018;0.07142857142857142;0.010309278350515464;
94;J-14.txt;126;13;4;9;122;0.05755395683453238;0.3076923076923077;0.031746031746031744;
95;J-15.txt;201;9;1;8;200;0.009523809523809525;0.1111111111111111;0.004975124378109453;
96;J-17.txt;133;13;5;8;128;0.0684931506849315;0.38461538461538464;0.03759398496240601;
97;J-18.txt;98;13;4;9;94;0.07207207207207207;0.3076923076923077;0.04081632653061224;
98;J-4.txt;117;13;4;9;113;0.06153846153846154;0.3076923076923077;0.03418803418803419;
99;J-7.txt;142;16;2;14;140;0.02531645569620253;0.125;0.014084507042253521;
100;J-8.txt;126;23;6;17;120;0.08053691275167785;0.2608695652173913;0.047619047619047616;
101;J-9.txt;186;29;12;17;174;0.11162790697674418;0.16780378851470248;0.09499264291602018;
